type,id,geometry/type,lat,lng,geometry_name,properties/name,properties/snippet
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.49,Point,153.4593892,-28.13385843,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.50,Point,153.4476402,-28.08217499,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.51,Point,153.2471707,-28.04183193,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.52,Point,153.3344626,-28.01506787,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.53,Point,153.5001655,-28.14926528,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.54,Point,153.4633515,-28.10414995,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.55,Point,153.3884643,-27.89153215,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.56,Point,153.409835,-27.98438814,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.57,Point,153.4076547,-27.93909614,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.58,Point,153.4723362,-28.13395648,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.59,Point,153.4535545,-28.09079186,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.60,Point,153.3998263,-27.94205732,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.61,Point,153.5307271,-28.16760038,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.62,Point,153.3060044,-27.87021339,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.63,Point,153.482855,-28.13302463,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.64,Point,153.4061804,-27.98649187,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.65,Point,153.4062751,-27.98662453,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.66,Point,153.442981,-28.09556021,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.67,Point,153.3361292,-28.05336675,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.68,Point,153.3155325,-27.89942283,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.69,Point,153.4053335,-28.06419796,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.70,Point,153.3340838,-27.91598873,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.71,Point,153.2299549,-27.97468445,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.72,Point,153.3565132,-27.92370281,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.73,Point,153.3824856,-27.94462025,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.74,Point,153.3201732,-27.90187943,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.75,Point,153.3419054,-28.02356713,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.76,Point,153.3955269,-28.20496775,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.77,Point,153.3879652,-27.99681585,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.78,Point,153.4266502,-27.9618572,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.79,Point,153.3887178,-27.89117104,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.80,Point,153.4303699,-28.08562814,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.81,Point,153.417322,-27.9977604,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.82,Point,153.387467,-27.98696924,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.83,Point,153.4312947,-28.02675989,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.84,Point,153.3825952,-28.08656803,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.85,Point,153.4128328,-27.99232554,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.86,Point,153.3304463,-28.09496939,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.87,Point,153.4289207,-28.01077116,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.88,Point,153.3520442,-28.03558971,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.89,Point,153.5052932,-28.15465979,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.90,Point,153.3998646,-27.93289153,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.91,Point,153.3672362,-27.98418572,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.92,Point,153.2756398,-27.89680416,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.93,Point,153.4304937,-28.03136665,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.94,Point,153.3152289,-27.94414687,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.95,Point,153.3193685,-28.00092211,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.96,Point,153.3393721,-27.99744816,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.97,Point,153.4312742,-28.01770958,geom,SHELTER_BUS,
